Class,Year,GRDP (Mil. Won)
1,1985,73284920
2,1986,81066252
3,1987,92189976
4,1988,103188279
5,1989,110757550
6,1990,122357373
7,1991,133102338
8,1992,143747470
9,1993,155291398
10,1994,165485885
11,1995,177046594
12,1996,186135048
13,1997,194752576
14,1998,183955577
15,1999,198119571
16,2000,215612522
17,2001,223289342
18,2002,238521647
19,2003,241214409
20,2004,243265777
21,2005,252140608
22,2006,261508177
23,2007,274419088
24,2008,279045512
25,2009,281302314
25,2009,281302314
