구분,Pop,Pop_Den,Pop_In,Pop_Out,Res_Area,GRDP,No. of Eco,Finantial_Ind,Tax_Rev,Tax_Exp,Residential_Area,Rate of Residential_Area,Commercial_Area,Green_Area,CO2_Emit
서울(2013),10143645,16761,1520090,1620640,149.67,307255021,5307,89,35082068,32259078,311749751,0.515,26198465,241649982,14765816642
부산(2013),3527635,4582,478451,496161,269.66,68152467,1710,57,14372013,13070755,140743673,0.149,24177853,555902452,3781008949
대구(2013),2501588,2832,351873,363224,401.64,42833128,1236,47,9951162,8827202,120897508,0.152,18571329,618710307,2787881095
인천(2013),2879782,2767,461613,439578,71.85,63591083,1505,67,12787899,11345365,114826611,0.198,21796985,289698022,3677029777
광주(2013),1472910,2939,226696,229288,247.71,28657358,729,45,6085943,5394309,74783409,0.156,8965071,372694291,1828510945
대전(2013),1532811,2837,230858,230547,305,29425974,759,54,5901557,5064188,70147488,0.142,8858354,401818078,1972968780
울산(2013),1156480,1091,159492,157185,269.82,69070975,558,41,4894231,4046295,66673392,0.088,7591201,516894965,1481208934
경기(2013),12234630,1203,1895434,1821303,1175.71,297215144,6172,72,46989572,39290006,539963600,0.162,60222008,2613340929,16192701294
강원(2013),1542263,92,217917,214931,0,33332398,715,27,12426934,11103778,137182795,0.134,17947539,796174959,2069379336
충북(2013),1572732,212,215973,212860,54.05,45928930,792,33,10600057,8849140,88966803,0.123,11820804,567983110,2179058237
충남(2013),2047631,250,281428,268053,24.59,98002393,1170,26,14648554,12308721,124048742,0.138,14943154,594450491,2689910136
전북(2013),1872965,232,258198,260395,0,38977181,894,27,14239412,12369556,123060822,0.139,16189349,608369462,2295916232
전남(2013),1907172,155,244329,246635,334.5,62635843,950,26,18602243,15803515,168600776,0.097,21106528,1174942655,2095078689
경북(2013),2699440,142,329118,330983,114.74,86013171,1431,30,22411929,18618414,207959655,0.113,26403955,1368414394,3614542210
경남(2013),3333820,316,427658,423864,464.9,92432984,1653,42,20976353,17835425,214173062,0.113,28573267,1482998299,3664599060
제주(2013),593806,321,88851,81028,0,12664287,311,31,4375317,3632873,48102794,0.106,6227963,379012756,570760219.6
서울(2010),10312545,17038,1733015,1848038,149.67,289718721,5180,86,30500481,28160747,309374109,0.511,26126627,242810549,13962942144
부산(2010),3567910,4650,519334,547800,269.66,63737249,1633,58,12442688,11318204,133090630,0.141,22823768,576508531,4047035692
대구(2010),2511676,2841,370817,382657,401.64,38579885,1218,56,7907652,7164802,119414221,0.15,18253652,621018843,3152687603
인천(2010),2758296,2679,462051,458439,71.85,60708051,1390,70,10276919,8806757,110372129,0.189,19695232,293682113,3587230912
광주(2010),1454636,2902,268574,265043,247.71,26400775,688,48,4748168,4175423,74747876,0.156,8878814,372900880,1730785847
대전(2010),1503664,2785,262432,263477,305,27631678,728,56,4628162,3958238,70300616,0.142,8819311,401760781,1943901408
울산(2010),1126298,1064,161146,164671,269.82,62852412,553,67,3825322,3285056,63558057,0.084,7200666,526179571,1462437143
경기(2010),11786622,1159,2168820,2026383,1175.71,266562114,5913,73,40984693,34747566,502469800,0.154,53708405,2570617120,15839190731
강원(2010),1529818,92,241738,241183,0,30628086,685,27,10887528,9468408,135332766,0.134,17464676,790907463,2259828861
충북(2010),1549528,208,235671,229707,54.05,39469541,753,34,8698990,7546763,85868575,0.12,11896082,566539850,2191628591
충남(2010),2075514,240,317853,301675,24.59,83166818,1003,37,12806602,10968126,146824457,0.141,19498626,682406500,2685571465
전북(2010),1868963,232,305789,308237,0,36632462,835,25,11863150,10195279,122396348,0.137,16062291,603112197,2313708098
전남(2010),1918485,157,265600,275661,334.5,59901035,904,21,16239595,13701758,167510154,0.096,20995272,1176660365,2307974993
경북(2010),2689920,141,354575,358127,114.74,80839023,1400,29,18053718,15318931,199756301,0.109,25363815,1374005317,3433263022
경남(2010),3290536,312,481955,478709,464.9,87419351,1576,43,17456155,14997789,205154159,0.109,27531858,1488340810,3859397834
제주(2010),571255,309,77224,76787,0,10898916,289,26,3165888,2727155,48102794,0.106,6227963,379012756,604720552.8
